week print.adv tv.adv sales
1 29.80 127.63 253.07
2 24.22 117.47 283.58
3 31.25 140.90 261.23
4 13.71 107.68 254.44
5 20.73 125.93 243.76
6 17.52 105.84 275.42
7 19.85 117.22 212.40
8 42.92 140.91 300.47
9 21.82 123.48 257.78
10 47.55 157.53 314.78
11 15.07 113.18 266.95
12 36.94 150.34 303.37
13 27.88 102.60 236.82
14 27.02 132.29 248.35
15 45.06 146.33 259.01
16 58.14 146.33 309.09
17 42.20 137.96 273.84
18 36.68 115.11 263.77
19 34.63 119.04 255.31
20 61.58 158.27 305.94
21 43.77 151.67 275.44
22 37.92 140.62 282.17
23 37.01 127.80 284.01
24 32.92 122.39 226.56
25 59.10 130.45 353.13
26 39.50 134.45 270.48
27 56.51 131.51 306.15
28 39.14 145.21 226.91
29 69.93 153.71 351.93
30 61.45 161.07 304.00
31 66.53 180.39 342.45
32 70.15 171.29 336.83
33 40.56 126.51 274.39
34 72.37 160.33 311.32
35 54.88 133.52 277.10
36 57.41 170.58 283.77
37 52.40 144.97 337.17
38 58.74 152.07 276.89
39 54.27 149.60 301.07
40 50.20 132.09 308.61
41 55.33 143.83 304.97
42 72.62 157.30 344.32
43 59.02 174.15 287.11
44 43.14 152.88 316.03
45 58.36 159.13 280.84
46 78.93 193.29 337.50
47 50.23 153.35 315.97
48 52.43 128.44 282.17
49 60.61 158.65 329.96
50 88.26 183.00 342.20
51 80.79 180.33 316.98
52 86.44 168.38 397.28
53 54.88 143.92 310.87
54 86.16 181.88 346.15
55 64.86 151.63 315.85
56 82.44 166.76 334.08
57 79.01 190.76 359.84
58 87.16 187.26 336.50
59 70.19 197.63 326.68
60 68.02 184.75 306.86
61 89.35 176.00 370.74
62 64.10 176.56 321.80
63 77.32 164.54 364.48
64 89.08 197.39 375.76
65 79.82 169.64 313.96
66 109.65 203.23 411.31
67 84.48 174.60 362.23
68 74.32 189.65 332.46
69 80.93 217.51 316.44
70 91.79 190.19 371.85
71 85.48 183.36 346.34
72 107.92 204.62 393.06
73 70.89 172.87 313.84
74 83.42 201.62 359.95
75 76.01 186.66 343.52
76 99.10 198.94 367.25
77 92.66 200.42 362.44
78 100.02 196.14 376.45
79 76.29 175.13 329.67
80 90.50 209.80 368.70
81 94.00 197.85 355.41
82 84.26 183.56 356.35
83 101.93 221.56 354.46
84 83.40 191.10 317.93
85 91.90 197.34 342.91
86 128.15 245.78 430.37
87 103.30 216.87 363.23
88 110.15 224.13 350.08
89 113.75 213.56 391.52
90 107.77 207.60 348.96
91 91.18 213.81 361.72
92 118.05 239.48 436.20
93 108.98 222.09 367.36
94 105.01 214.18 356.54
95 117.94 234.19 386.01
96 108.48 229.71 435.19
97 111.96 238.72 395.93
98 125.57 234.54 401.17
99 112.35 226.06 358.96
100 120.83 214.12 413.99
101 113.46 216.16 416.50
102 119.47 203.85 402.65
103 121.02 231.42 391.13
104 124.40 228.51 410.11
