weight hp origin model mpg.city cargo seating displacement type cylinders origin length width turndiam headroom legroom price make model mpg.hwy
2390 118 Asia Acura.Integra 25 16 5 97 5HB 4 3 171.3 65.6 32.1 37.5 40.7 12670 Acura Integra 30
3077 161 Asia Acura.Legend 18 16.6 5 163 4NB 6 3 189.4 68.3 36.1 37.2 42.3 23400 Acura Legend 22
2568 108 Europe Audi.80 23 10.2 5 121 4NB 4 2 176.3 66.7 33.8 NA NA 19685 Audi 80 27
2932 130 Europe Audi.100 19 16.8 5 141 4NB 5 2 192.7 71.4 34.2 37.5 NA 28030 Audi 100 22
2855 168 Europe BMW.325i 18 14.3 5 152 4NB 6 2 170.2 64.8 34.4 37.7 NA 26095 BMW 325i 22
3395 168 Europe BMW.525i 18 16.2 5 152 4NB 6 2 185.8 68.9 37.7 NA NA 37000 BMW 525i 23
3835 208 Europe BMW.735i 14 17.6 5 209 4NB 6 2 193.3 72.6 38.1 NA NA 54000 BMW 735i 19
2764 110 US Buick.Century 23 15.8 6 151 4NB 4 1 190.3 69.5 38.1 38.6 42.1 13356 Buick Century 30
3289 165 US Buick.Electra 19 16.4 6 231 4NB 6 1 196.9 72.4 39.4 39.3 42.4 18525 Buick Electra 28
4209 140 US Buick.Estate 17 87.9 8 307 5WGN 8 1 220.5 79.3 41.4 39.6 42.2 19860 Buick Estate 24
3267 165 US Buick.LeSabre 19 16.4 6 231 4NB 6 1 196.5 72.4 40 38.9 42.4 16730 Buick LeSabre 28
3394 165 US Buick.Reatta 19 10.3 2 231 2NB 6 1 183.5 73 38 36.9 43.1 26700 Buick Reatta 28
3144 130 US Buick.Regal 20 15.5 6 173 2NB 6 1 192.2 72.5 39 37.8 42.3 14739 Buick Regal 29
3436 165 US Buick.Riviera 19 13.9 5 231 2NB 6 1 198.3 71.7 37.5 37.8 42.7 22540 Buick Riviera 28
2469 90 US Buick.Skyhawk 25 13.5 5 121 4NB 4 1 181.7 65 34.3 38.2 42.2 9700 Buick Skyhawk 32
2640 110 US Buick.Skylark 23 13.4 6 151 4NB 4 1 180 66.6 37.8 37.7 42.9 12345 Buick Skylark 30
3492 200 US Cadillac.Allante 15 16.2 2 273 2CONV 8 1 178.6 73.5 36.1 37.3 43.1 57183 Cadillac Allante 23
4190 140 US Cadillac.Brougham 17 19.5 6 307 4NB 8 1 221 76.5 40.5 39 42 25699 Cadillac Brougham 24
3470 155 US Cadillac.Fleetwood 17 18.4 6 273 4NB 8 1 205.3 72.5 42.6 39.3 42.4 34230 Cadillac Fleetwood 25
3422 155 US Cadillac.Seville 17 14.1 5 273 4NB 8 1 191.4 71.7 40.3 37.8 42.5 29750 Cadillac Seville 25
3084 155 US Chevrolet.Astro 17 151.8 8 262 5VAN 6 1 176.8 77 40.2 NA NA 14754 Chevrolet Astro 22
3083 220 US Chevrolet.Camaro 16 34.8 4 305 IROC-Z 8 1 190.3 72.4 36.9 37 43 14635 Chevrolet Camaro 25
3693 170 US Chevrolet.Caprice 17 20.9 6 305 4NB 8 1 212.2 75.4 38.7 39.5 42.2 16835 Chevrolet Caprice 24
2423 90 US Chevrolet.Cavalier 25 13.7 5 121 4NB 4 1 178.4 66.3 34.7 39.7 42.2 9010 Chevrolet Cavalier 32
2751 98 US Chevrolet.Celebrity 23 16.2 6 151 4NB 4 1 188.3 69.3 38.7 38.6 42.1 11495 Chevrolet Celebrity 30
2595 90 US Chevrolet.Corsica 24 13.5 5 121 4NB 4 1 183.4 68.2 34.8 38.1 43.4 10475 Chevrolet Corsica 31
3229 245 US Chevrolet.Corvette 17 17.9 2 350 3HB 8 1 176.5 71 40.4 36.4 42.6 31545 Chevrolet Corvette 25
2822 188 US Chrysler.Conquest 18 NA 4 156 3HB 4 1 173.2 66.3 31.5 36.6 40.7 19692 Chrysler Conquest 24
3556 140 US Chrysler.Fifth.Ave 16 15.6 6 318 4NB 8 1 206.7 72.4 40.7 39.3 42.5 18345 Chrysler Fifth.Ave 22
2659 93 US Chrysler.LeBaron 24 42.6 5 135 5HB 4 1 180.4 68.3 36.2 38.3 41.1 12031 Chrysler LeBaron 28
3214 141 US Chrysler.New.Yorker 18 16.5 6 181 4NB 6 1 193.6 68.5 40.5 38.3 41.9 17416 Chrysler New.Yorker 26
1775 53 Asia Daihatsu.Charade 38 33 4 61 3HB 3 3 144.9 63.6 31.5 37.5 41.1 6397 Daihatsu Charade 42
2323 93 US Dodge.Aries 24 15 6 135 4NB 4 1 178.9 67.9 34.8 38.6 42.2 8371 Dodge Aries 30
3304 100 US Dodge.Caravan 21 150 8 153 4VAN 4 1 190.5 69.6 43.2 39 38.2 11877 Dodge Caravan 23
2195 81 Asia Dodge.Colt 27 34.7 5 90 3HBGT 4 1 158.7 65.5 32.4 38.3 41.9 9362 Dodge Colt 29
2888 96 Asia Dodge.Colt 22 63.9 7 122 5WGN2WD 4 1 174.6 64.6 34.8 38.3 38.8 13327 Dodge Colt.Vista 23
2676 100 US Dodge.Daytona 23 33 4 153 3HB 4 1 175 69.3 34.3 37.1 42.4 9831 Dodge Daytona 29
3000 141 US Dodge.Dynasty 22 16 6 181 4NB 4 1 192 68.5 40.5 37.6 41.9 12295 Dodge Dynasty 28
2643 93 US Dodge.Lancer 24 42.6 5 139 5HB 4 1 180.4 68.3 36.2 38.3 41.1 11731 Dodge Lancer 28
2237 93 US Dodge.Omni 24 33 5 135 5HB 4 1 163.2 66.8 38.1 38.1 42.1 7371 Dodge Omni 30
2558 93 US Dodge.Shadow 24 33 5 135 5HB 4 1 171.7 67.3 36.2 38.3 41.5 9131 Dodge Shadow 28
2770 100 ¥ Mystery 23 14.4 6 153 4NB 4 1 181.2 68.1 37.6 38.4 41.8 1 Dodge Spirit 29
2588 103 US Eagle.Medallion 21 15.2 5 132 4NB.DL 4 1 183.2 67.5 NA 37.8 42.2 10895 Eagle Medallion 27
2862 150 US Eagle.Premier 22 16.3 5 182 4NB.LX 4 1 192.7 69.8 36.9 38.5 43.7 13276 Eagle Premier 31
2271 81 US Eagle.Summit 27 10.3 5 90 4NB.DL 4 1 170.1 65.7 30.8 39.1 41.9 9852 Eagle Summit 30
NA 145 US Ford.Aerostar 17 168.4 7 182 4VAN 6 1 190.3 72 39.8 39.5 41.4 12174 Ford Aerostar 22
2222 90 US Ford.Escort 26 38.5 5 114 5HB.LX 4 1 166.9 65.9 35.7 37.9 41.5 8169 Ford Escort 31
1713 63 US Ford.Festiva 30 26.5 4 81 3HB.LX 4 1 140.5 63.2 28.2 38.8 40.6 7616 Ford Festiva 31
