Wave Y Choice
1 1 Gore
1 0 Bush
1 0 Bush
1 1 Gore
1 0 Bush
1 1 Gore
1 0 Bush
1 1 Gore
1 1 Gore
1 1 Gore
1 1 Gore
1 1 Gore
1 1 Gore
1 0 Bush
1 1 Gore
1 0 Bush
1 0 Bush
1 0 Bush
1 0 Bush
1 1 Gore
1 0 Bush
1 0 Bush
1 0 Bush
1 0 Bush
1 1 Gore
1 1 Gore
1 0 Bush
1 1 Gore
1 0 Bush
1 1 Gore
1 0 Bush
1 1 Gore
1 1 Gore
1 1 Gore
1 1 Gore
1 0 Bush
1 1 Gore
1 0 Bush
1 0 Bush
1 0 Bush
1 0 Bush
1 1 Gore
1 0 Bush
1 1 Gore
1 0 Bush
1 1 Gore
1 1 Gore
1 1 Gore
1 1 Gore
1 1 Gore
2 1 Gore
2 0 Bush
2 1 Gore
2 1 Gore
2 0 Bush
2 1 Gore
2 1 Gore
2 1 Gore
2 0 Bush
2 0 Bush
2 0 Bush
2 0 Bush
2 0 Bush
2 1 Gore
2 1 Gore
2 1 Gore
2 1 Gore
2 0 Bush
2 1 Gore
2 1 Gore
2 1 Gore
2 1 Gore
2 0 Bush
2 1 Gore
2 1 Gore
2 0 Bush
2 1 Gore
2 1 Gore
2 0 Bush
2 0 Bush
2 1 Gore
2 1 Gore
2 0 Bush
2 1 Gore
2 0 Bush
2 0 Bush
2 1 Gore
2 0 Bush
2 0 Bush
2 1 Gore
2 0 Bush
2 1 Gore
2 0 Bush
2 1 Gore
2 0 Bush
2 0 Bush
2 0 Bush
2 1 Gore
2 1 Gore
2 1 Gore
3 1 Gore
3 1 Gore
3 0 Bush
3 0 Bush
3 0 Bush
3 1 Gore
3 1 Gore
3 0 Bush
3 0 Bush
3 0 Bush
3 0 Bush
3 1 Gore
3 0 Bush
3 1 Gore
3 0 Bush
3 0 Bush
3 1 Gore
3 1 Gore
3 0 Bush
3 1 Gore
3 0 Bush
3 1 Gore
3 0 Bush
3 1 Gore
3 1 Gore
3 0 Bush
3 1 Gore
3 0 Bush
3 0 Bush
3 0 Bush
3 0 Bush
3 0 Bush
3 0 Bush
3 1 Gore
3 0 Bush
3 0 Bush
3 1 Gore
3 0 Bush
3 1 Gore
3 0 Bush
3 1 Gore
3 1 Gore
3 0 Bush
3 1 Gore
3 1 Gore
3 1 Gore
3 1 Gore
3 0 Bush
3 1 Gore
3 1 Gore
4 0 Bush
4 0 Bush
4 1 Gore
4 0 Bush
4 0 Bush
4 1 Gore
4 1 Gore
4 0 Bush
4 0 Bush
4 0 Bush
4 1 Gore
4 1 Gore
4 0 Bush
4 0 Bush
4 1 Gore
4 1 Gore
4 1 Gore
4 1 Gore
4 1 Gore
4 0 Bush
4 1 Gore
4 1 Gore
4 1 Gore
4 1 Gore
4 1 Gore
4 1 Gore
4 0 Bush
4 0 Bush
4 0 Bush
4 1 Gore
4 1 Gore
4 0 Bush
4 0 Bush
4 0 Bush
4 1 Gore
4 1 Gore
4 0 Bush
4 0 Bush
4 1 Gore
4 0 Bush
4 1 Gore
4 0 Bush
4 0 Bush
4 0 Bush
4 1 Gore
4 0 Bush
4 0 Bush
4 0 Bush
4 1 Gore
4 1 Gore
5 1 Gore
5 1 Gore
5 1 Gore
5 0 Bush
5 0 Bush
5 0 Bush
5 0 Bush
5 0 Bush
5 0 Bush
5 0 Bush
5 1 Gore
5 0 Bush
5 0 Bush
5 0 Bush
5 1 Gore
5 1 Gore
5 0 Bush
5 0 Bush
5 0 Bush
5 1 Gore
5 0 Bush
5 1 Gore
5 0 Bush
5 0 Bush
5 1 Gore
5 1 Gore
5 1 Gore
5 1 Gore
5 1 Gore
5 1 Gore
5 0 Bush
5 0 Bush
5 1 Gore
5 0 Bush
5 0 Bush
5 1 Gore
5 1 Gore
5 1 Gore
5 1 Gore
5 0 Bush
5 1 Gore
5 1 Gore
5 0 Bush
