date,wave,state,sex,income,employ,region,media,educ,gore,bush,party,prepref,bush.sum,media.sum,gore.sum,party.dummy
20000213,2,MD,male,3,1,5,12,3,8,10,Dem,2,10,12,8,1
20000213,2,NY,male,7,1,2,25,7,11,9,Repub,1,9,25,11,0
20000213,2,NY,male,3,1,2,14,7,8,11,Dem,2,11,14,8,1
20000211,2,IA,female,7,6,4,25,9,NA,NA,Dem,2,3988,25,3988,1
20000213,2,PA,female,4,1,2,0,7,11,10,Repub,1,10,0,11,0
20000213,2,VA,male,5,1,5,9,5,7,6,Repub,1,6,9,7,0
20000211,2,MI,female,6,1,3,10,6,NA,NA,Repub,1,3988,10,3988,0
20000213,2,KY,female,6,5,6,26,7,NA,NA,Repub,1,3988,26,3988,0
20000210,2,IN,female,5,1,3,20,3,NA,NA,Dem,2,3988,20,3988,1
20000210,2,OK,male,1,4,7,NA,3,NA,NA,Dem,2,3988,1017,3988,1
20000213,2,NJ,male,6,1,2,23,3,NA,NA,Dem,2,3988,23,3988,1
20000212,2,NJ,male,6,1,2,29,6,NA,NA,Repub,1,3988,29,3988,0
20000216,2,NJ,male,5,1,2,9,7,11,11,Repub,1,11,9,11,0
20000210,2,DC,female,5,4,5,23,3,NA,NA,Dem,2,3988,23,3988,1
20000210,2,CT,male,6,1,1,14,5,NA,NA,NA,997,3988,14,3988,0
20000216,2,CT,male,6,1,1,10,3,NA,NA,Dem,2,3988,10,3988,1
20000216,2,CT,male,NA,1,1,16,3,NA,NA,Dem,2,3988,16,3988,1
20000212,2,AL,female,NA,7,6,24,5,NA,NA,Dem,2,3988,24,3988,1
20000215,2,AL,male,6,1,6,29,8,7,6,Repub,1,6,29,7,0
20000211,2,AL,female,2,4,6,10,2,NA,NA,Dem,2,3988,10,3988,1
20000211,2,AL,male,6,1,6,7,7,14,8,Repub,1,8,7,14,0
20000214,2,AL,male,6,1,6,20,7,NA,NA,Dem,2,3988,20,3988,1
20000212,2,WA,male,5,1,9,23,5,NA,NA,Repub,1,3988,23,3988,0
20000211,2,WA,male,8,1,9,26,3,NA,NA,Dem,2,3988,26,3988,1
20000213,2,WA,male,4,1,9,10,3,NA,NA,Repub,1,3988,10,3988,0
20000212,2,ME,female,1,4,1,19,3,NA,NA,Repub,1,3988,19,3988,0
20000214,2,ME,male,5,1,1,28,3,NA,NA,Dem,2,3988,28,3988,1
20000214,2,ME,male,5,1,1,17,6,12,12,Repub,1,12,17,12,0
20000214,2,ME,female,5,1,1,17,3,9,11,Dem,2,11,17,9,1
20000212,2,ME,female,6,1,1,15,6,NA,NA,Dem,2,3988,15,3988,1
20000211,2,ME,female,7,1,1,17,3,9,11,Dem,2,11,17,9,1
20000212,2,ID,male,5,1,8,30,5,14,10,Repub,1,10,30,14,0
20000212,2,ID,male,6,1,8,19,4,NA,NA,Repub,1,3988,19,3988,0
20000214,2,CA,female,6,6,9,29,3,NA,NA,Dem,2,3988,29,3988,1
20000213,2,CA,male,3,1,9,17,3,NA,NA,NA,997,3988,17,3988,0
20000215,2,CA,male,7,1,9,21,7,NA,NA,NA,997,3988,21,3988,0
20000214,2,CA,female,5,1,9,21,7,NA,NA,Dem,2,3988,21,3988,1
20000216,2,TX,male,3,2,7,14,3,NA,NA,Repub,1,3988,14,3988,0
20000216,2,CA,female,1,1,9,0,2,NA,NA,Repub,1,3988,0,3988,0
20000211,2,PA,female,1,5,2,NA,3,NA,NA,Dem,2,3988,999,3988,1
20000214,2,PA,male,6,8,2,26,3,NA,NA,Repub,1,3988,26,3988,0
20000216,2,PA,female,4,1,2,18,9,11,10,Dem,2,10,18,11,1
20000212,2,PA,male,6,1,2,25,5,8,14,Dem,2,14,25,8,1
20000215,2,PA,male,5,1,2,13,5,NA,NA,Repub,1,3988,13,3988,0
20000213,2,OH,female,NA,1,3,3,5,NA,NA,Repub,1,3988,3,3988,0
20000216,2,OH,male,4,2,3,8,2,NA,NA,Dem,2,3988,8,3988,1
20000212,2,IL,male,6,1,3,12,3,NA,NA,Dem,2,3988,12,3988,1
20000211,2,IL,female,NA,2,3,0,5,NA,NA,NA,997,3964,0,2003,0
20000214,2,MN,male,5,1,4,15,6,NA,NA,Dem,2,3988,15,3988,1
20000213,2,IN,male,6,1,3,25,7,NA,NA,Repub,1,3988,25,3988,0
20000211,2,IN,female,5,1,3,16,6,NA,NA,Repub,1,3988,16,3988,0
20000215,2,LA,male,4,1,7,13,7,NA,NA,Repub,1,3988,13,3988,0
20000216,2,LA,male,4,1,7,9,3,NA,NA,Repub,1,3988,9,3988,0
20000214,2,MI,female,1,2,3,5,3,NA,NA,NA,997,3988,5,3988,0
20000213,2,MI,male,5,1,3,9,3,NA,NA,Repub,1,3988,9,3988,0
20000212,2,MI,female,7,1,3,4,9,NA,NA,Dem,2,3988,4,3988,1
20000213,2,MI,female,NA,7,3,9,5,13,11,Repub,1,11,9,13,0
20000216,2,NC,male,4,1,5,5,9,NA,NA,Repub,1,3988,5,3988,0
20000215,2,WA,male,4,1,9,13,3,NA,NA,Dem,2,3988,13,3988,1
20000210,2,WA,female,7,4,9,28,7,NA,NA,Dem,2,3988,28,3988,1
20000210,2,WA,male,4,1,9,30,5,16,7,Repub,1,7,30,16,0
20000214,2,TX,male,7,1,7,15,6,10,NA,NA,997,1006,15,10,0
20000211,2,TX,male,4,1,7,12,3,NA,NA,Repub,1,3988,12,3988,0
20000211,2,TX,female,4,2,7,4,8,NA,NA,Repub,1,3988,4,3988,0
20000211,2,TX,female,6,1,7,14,3,NA,NA,Repub,1,3988,14,3988,0
20000215,2,AL,male,6,1,6,17,9,6,8,Repub,1,8,17,6,0
20000215,2,AL,male,NA,5,6,9,2,NA,NA,NA,997,3988,9,3988,0
20000214,2,KY,female,3,4,6,28,3,NA,NA,Repub,1,3988,28,3988,0
20000213,2,KY,female,6,1,6,9,3,NA,NA,Dem,2,3988,9,3988,1
20000215,2,TX,female,NA,4,7,19,3,NA,NA,Repub,1,3988,19,3988,0
20000214,2,TX,male,9,1,7,2,9,NA,NA,Dem,2,3988,2,3988,1
20000215,2,TX,male,4,1,7,25,5,15,4,Repub,1,4,25,15,0
20000210,2,TX,male,1,1,7,16,5,8,16,Dem,2,16,16,8,1
20000212,2,TX,female,9,2,7,5,3,NA,NA,Repub,1,3988,5,3988,0
20000211,2,MD,female,6,2,5,16,2,NA,NA,NA,997,3988,16,3988,0
20000210,2,MD,female,6,1,5,28,8,NA,NA,Repub,1,3988,28,3988,0
20000212,2,MD,female,9,1,5,11,7,NA,NA,Dem,2,3988,11,3988,1
20000214,2,MD,female,5,4,5,23,6,NA,NA,Dem,2,3988,23,3988,1
20000213,2,MD,female,5,2,5,14,5,7,14,Dem,2,14,14,7,1
20000210,2,MD,female,6,1,5,7,9,NA,NA,Dem,2,3988,7,3988,1
20000210,2,MD,female,1,2,5,13,3,NA,NA,Repub,1,3988,13,3988,0
20000210,2,DE,female,NA,6,5,25,3,NA,NA,Repub,1,3988,25,3988,0
20000214,2,DE,male,6,1,5,25,3,NA,NA,Repub,1,3988,25,3988,0
20000215,2,DE,male,NA,1,5,12,3,NA,NA,Dem,2,3988,12,3988,1
20000216,2,DE,female,4,6,5,21,7,NA,NA,Repub,1,3988,21,3988,0
20000211,2,DE,male,2,1,5,16,3,NA,NA,Dem,2,3988,16,3988,1
20000214,2,DE,female,NA,2,5,12,2,NA,NA,Dem,2,3988,12,3988,1
20000210,2,CO,male,2,2,8,2,3,NA,NA,Dem,2,3988,2,3988,1
20000215,2,CO,male,6,1,8,9,9,9,10,Dem,2,10,9,9,1
20000210,2,WV,male,5,2,5,9,3,NA,NA,Repub,1,3988,9,3988,0
20000211,2,WV,female,1,8,5,7,3,NA,NA,Dem,2,3988,7,3988,1
20000212,2,WV,female,4,4,5,9,8,NA,NA,Repub,1,3988,9,3988,0
20000211,2,FL,female,4,1,5,30,5,NA,NA,Dem,2,3988,30,3988,1
20000211,2,FL,female,NA,7,5,NA,5,NA,NA,Dem,2,3988,1999,3988,1
20000212,2,NE,male,3,5,4,20,7,NA,NA,NA,3,3988,20,3988,0
20000215,2,NE,female,8,1,4,17,8,11,NA,Repub,1,2000,17,11,0
20000214,2,IL,female,6,1,3,16,5,NA,NA,Dem,2,3988,16,3988,1
20000213,2,IL,male,5,1,3,22,5,15,4,Repub,1,4,22,15,0
20000213,2,IL,male,5,1,3,33,5,NA,NA,Dem,2,3988,33,3988,1
20000210,2,IL,male,7,1,3,18,9,NA,NA,Repub,1,3988,18,3988,0
20000216,2,IL,female,6,4,3,25,5,NA,NA,Repub,1,3988,25,3988,0
20000214,2,CA,female,6,1,9,10,9,9,NA,Dem,2,1007,10,9,1
20000212,2,CA,female,6,1,9,25,6,NA,NA,Dem,2,3988,25,3988,1
20000215,2,CA,female,2,1,9,3,1,NA,NA,Repub,1,3988,3,3988,0
20000216,2,MI,male,4,4,3,26,3,NA,NA,Dem,2,3988,26,3988,1
20000210,2,NY,female,6,2,2,7,3,NA,NA,Dem,2,3988,7,3988,1
20000215,2,NY,female,6,1,2,9,6,NA,NA,Repub,1,3988,9,3988,0
20000215,2,NY,male,6,1,2,19,7,NA,NA,Repub,1,3988,19,3988,0
20000215,2,KS,female,NA,4,4,28,8,NA,NA,Dem,2,3988,28,3988,1
20000210,2,KS,male,6,1,4,10,3,11,NA,Dem,2,3964,10,11,1
20000214,2,KS,female,4,1,4,16,5,8,10,Dem,2,10,16,8,1
20000215,2,KS,male,7,4,4,21,6,NA,NA,Repub,1,3988,21,3988,0
20000210,2,KS,female,6,6,4,18,5,NA,NA,Dem,2,3988,18,3988,1
20000212,2,KS,female,7,1,4,21,7,NA,NA,Dem,2,3988,21,3988,1
20000210,2,KS,female,1,1,4,9,9,NA,NA,Repub,1,3988,9,3988,0
20000215,2,IN,male,6,1,3,4,6,NA,NA,Repub,1,3988,4,3988,0
20000211,2,IN,female,4,1,3,9,4,9,NA,Repub,1,3964,9,9,0
20000212,2,IN,female,8,4,3,17,7,11,9,Repub,1,9,17,11,0
20000214,2,IN,female,4,2,3,27,5,NA,NA,NA,3,3988,27,3988,0
20000214,2,IN,male,3,2,3,9,7,NA,NA,Dem,2,3988,9,3988,1
20000211,2,LA,female,5,6,7,5,7,NA,NA,Repub,1,3988,5,3988,0
20000215,2,LA,female,5,6,7,14,5,NA,NA,NA,997,3988,14,3988,0
20000214,2,LA,male,6,1,7,26,9,12,NA,Repub,1,1005,26,12,0
20000214,2,LA,male,6,1,7,14,7,NA,NA,Repub,1,3988,14,3988,0
20000214,2,LA,female,4,1,7,8,3,NA,NA,Repub,1,1004,8,3964,0
20000215,2,LA,female,9,1,7,28,9,NA,NA,Dem,2,3988,28,3988,1
20000215,2,IA,male,NA,2,4,20,2,NA,NA,Dem,2,3988,20,3988,1
20000212,2,IA,male,4,1,4,19,3,NA,NA,Dem,2,3988,19,3988,1
20000216,2,IA,female,6,1,4,23,4,5,8,Dem,2,8,23,5,1
20000215,2,IA,female,2,1,4,15,3,9,9,Dem,2,9,15,9,1
20000214,2,IA,male,6,1,4,14,9,NA,NA,Dem,2,3988,14,3988,1
20000212,2,IA,female,NA,1,4,15,7,NA,NA,Dem,2,3988,15,3988,1
20000215,2,IA,male,7,1,4,24,4,9,9,NA,997,9,24,9,0
20000214,2,IA,male,6,1,4,10,3,8,7,Repub,1,7,10,8,0
20000215,2,IA,female,4,2,4,25,4,NA,NA,Repub,1,3988,25,3988,0
20000216,2,IA,female,9,6,4,14,7,NA,NA,Dem,2,3988,14,3988,1
20000212,2,IA,male,4,1,4,0,2,NA,NA,Repub,1,3988,0,3988,0
20000211,2,CA,female,2,1,9,NA,1,NA,NA,NA,997,3988,998,3988,0
20000215,2,CA,female,6,1,9,24,6,NA,NA,Dem,2,3988,24,3988,1
20000211,2,CA,male,1,1,9,19,4,10,11,Repub,1,11,19,10,0
20000216,2,CA,female,6,1,9,27,3,6,9,Dem,2,9,27,6,1
20000210,2,CA,female,NA,4,9,0,1,NA,NA,NA,3,3988,0,3988,0
20000213,2,CA,male,3,1,9,19,5,NA,NA,Repub,1,3988,19,3988,0
