rent.total sqft renovation lease.length age dist.city dist.airport drive location occupancy floor.bldg sqft.bldg elevator restaurant wiring exercise dist.hosp firm floors.lease renewable parking
329959 19083.39 7 6 7 4.9 12.27 22.67 SUBNEW 0.85 14 23742.84 4 YES NO YES 1.88 LEGAL 13 NO 6
298073 18010.21 36 9 78 0.19 14.25 25.36 CITY 0.94 9 30229.57 2 YES NO NO 0.53 LEGAL 3 NO 2
2820213 154084.73 3 10 3 3.86 10.78 10.7 SUBNEW 0.85 11 43098.76 4 YES YES NO 1.45 BUS. 8 NO 0
883773 52826.38 51 6 51 1.46 12.96 20.49 CITY 0.93 30 14394.44 10 NO NO NO 0.77 LEGAL 7 NO 0
359745 22863.88 15 5 15 3.93 11.75 17.16 SUBNEW 0.99 16 41446.59 5 NO NO NO 1.55 LEGAL 14 NO 0
776486 52280.63 39 3 39 4.55 17.59 38.49 SUBOLD 0.6 10 53417.78 4 YES NO NO 1.47 BUS. 6 NO 0
779517 50759.47 17 8 17 2.38 13.16 20.43 SUBNEW 0.69 13 38949.37 4 NO NO NO 1.53 LEGAL 7 NO 0
1150529 62775.24 4 3 4 3.56 11.32 13.27 SUBNEW 0.73 18 25928.9 7 NO YES NO 1.48 BUS. 7 NO 6
38131 2405.65 12 4 12 1.58 15.84 31.1 SUBOLD 0.71 13 35694.7 5 NO NO NO 1.01 OTHER 1 NO 0
58020 3336.33 32 3 32 1.55 15.76 30.77 SUBOLD 0.77 7 30054.43 5 NO NO NO 1.06 OTHER 3 NO 4
198698 10715.66 49 10 49 1.33 13.1 21.12 CITY 0.88 17 20630.9 4 NO NO NO 0.65 OTHER 5 NO 5
1905962 122576.23 3 9 3 1.57 15.7 30.48 SUBOLD 0.7 14 30938.1 6 YES NO YES 1.18 BUS. 7 NO 14
449871 30773.08 11 4 30 4.24 11.16 15.63 SUBNEW 0.6 21 43897.67 9 YES NO NO 1.15 BUS. 5 NO 0
72212 4581 20 5 20 1.63 15.43 29.28 SUBOLD 0.77 14 48794.51 4 NO NO NO 1.56 DOCTOR 3 NO 0
94919 6273.5 21 5 21 5.19 11.07 19.77 SUBNEW 0.59 11 27479.49 4 NO NO NO 0.66 OTHER 11 NO 0
36514 2027.36 33 9 65 0.73 13.79 24.26 CITY 0.98 7 43930.46 4 YES NO NO 0.5 OTHER 3 NO 0
92125 5329.22 7 9 7 5.3 18.37 41.72 SUBOLD 0.97 19 43787.15 6 YES NO YES 1.76 GOVT 10 NO 0
1591730 101424.31 9 9 9 4.31 10.84 14.3 SUBNEW 0.93 16 40566.18 9 YES NO NO 1.19 BUS. 1 NO 9
145922 7936.42 12 3 12 0.67 14.36 25.26 CITY 0.94 63 48207.53 9 YES YES NO 0.8 BUS. 13 NO 2
496409 32303.09 4 4 18 3.19 11.34 13.49 SUBNEW 0.58 15 47087.35 5 YES NO YES 0.74 BUS. 9 NO 0
798909 52173.42 5 7 5 2.08 16.1 31.97 SUBOLD 0.99 14 24449.73 5 NO YES NO 1.6 BUS. 2 NO 8
425861 23716.58 45 9 63 0.88 14.9 28.9 CITY 0.81 20 17343.32 5 NO NO NO 0.84 GOVT 19 YES 6
287392 16515.9 3 10 17 3.14 13.79 23.93 SUBNEW 0.9 11 49048.71 7 YES YES YES 0.44 BUS. 3 NO 2
276100 15431.64 21 4 37 1.02 14.29 24.83 CITY 0.91 43 31992.23 7 YES NO NO 1.02 BUS. 25 NO 0
116301 6517.85 47 9 47 1.02 13.64 22.43 CITY 0.97 25 6795.82 6 NO NO NO 0.51 BUS. 9 NO 5
110495 6804.3 18 8 34 6.38 20.08 48.1 SUBOLD 0.97 9 32677.93 3 YES NO YES 2.38 GOVT 5 NO 2
377032 22442.46 18 4 18 3.5 12.13 17.6 SUBNEW 0.98 28 51446.4 5 NO NO NO 2 BUS. 26 NO 3
290559 18568.75 23 3 23 2.64 17.04 36.1 SUBOLD 0.76 16 42499.52 5 NO NO NO 1.62 BUS. 13 NO 2
2184416 138855.88 30 3 30 2.2 12.44 17.46 SUBNEW 0.99 12 31337.91 4 NO NO NO 0.85 BUS. 6 NO 0
998647 58903.28 15 3 15 4.62 10.44 14.36 SUBNEW 0.96 17 46405.4 6 NO NO NO 1.11 BUS. 16 NO 0
1097061 70914.82 1 4 1 1.56 15.51 29.64 SUBOLD 0.98 9 31845.03 6 NO NO NO 1.38 BUS. 7 NO 0
228066 12528.98 6 9 62 0.84 13.58 22.84 CITY 0.89 16 21376 5 NO NO NO 0.16 LEGAL 3 YES 5
1091447 63998.78 66 6 77 0.57 13.95 24.76 CITY 0.9 9 27545.03 5 NO NO NO 0.5 BUS. 3 NO 8
231471 13820.9 13 10 45 0.74 14.85 27.25 CITY 0.94 5 6823.22 4 NO NO NO 1.09 GOVT 3 NO 0
138377 7705.89 25 4 43 0.22 14.35 26.11 CITY 0.97 19 20632.43 6 NO NO NO 0.71 DOCTOR 2 NO 0
183761 9947.47 48 10 70 0.73 13.7 23.36 CITY 0.98 7 18341.2 4 NO NO NO 0.14 OTHER 2 YES 3
299119 16390.85 72 6 72 0.71 14.76 28.19 CITY 0.97 3 25569.49 4 NO NO NO 0.89 LEGAL 2 NO 3
405641 23152.02 0 3 0 3.47 14.03 25.35 SUBNEW 0.51 12 47887.47 5 NO NO NO 0.27 BUS. 1 NO 2
334213 17863.02 12 10 38 0.88 13.54 22.69 CITY 1 41 25314.56 10 NO YES NO 0.2 GOVT 7 NO 3
2013819 125695.24 17 10 33 6.09 19.33 45.47 SUBOLD 0.64 19 49397.27 5 NO NO NO 2.23 LEGAL 15 NO 12
428728 26401.5 32 7 32 1.08 13.92 25.72 CITY 0.94 45 49351.52 10 NO NO NO 0.42 BUS. 14 NO 2
46150 2054.09 16 10 38 0.22 14.22 25.25 CITY 0.9 36 21497.15 8 NO NO NO 0.5 DOCTOR 21 NO 3
2595674 152172.03 14 3 28 1.1 13.34 22.33 CITY 0.94 46 37638.66 10 NO NO NO 0.51 BUS. 40 NO 15
124682 7147.48 61 10 61 0.32 14.44 26.59 CITY 0.84 9 34081.62 2 NO NO NO 0.84 LEGAL 5 YES 0
104749 6415.5 6 3 6 5.38 13.63 28.23 SUBNEW 0.88 19 16952.75 8 YES NO YES 2.21 BUS. 17 NO 0
813513 52102.14 12 4 12 4.29 10.88 14.38 SUBNEW 0.74 15 43105.83 7 NO NO NO 1.19 BUS. 7 NO 5
67623 3697.79 4 3 4 4.88 11.63 20.4 SUBNEW 0.97 9 30132.66 4 NO NO NO 1.2 BUS. 8 NO 0
76960 4861.55 16 5 16 1.9 13.02 19.66 SUBNEW 0.88 13 24364.71 4 NO NO NO 1.33 DOCTOR 1 NO 0
921925 52753.75 25 3 25 0.76 14.73 28.19 CITY 0.98 39 23537.16 13 NO NO NO 0.87 LEGAL 24 NO 11
135037 7386.95 42 5 61 0.7 13.87 24.65 CITY 0.97 21 16134.96 4 NO NO NO 0.58 OTHER 17 NO 3
26311 1206.59 13 5 81 1.27 13.49 21.69 CITY 0.99 7 17860.49 2 NO NO NO 0.74 DOCTOR 4 NO 1
112225 7197.24 13 6 25 4.29 13.8 26.11 SUBNEW 0.61 19 30301.36 4 NO NO NO 1.11 GOVT 5 NO 2
504164 30647.33 16 7 59 1.16 13.37 22.91 CITY 0.85 21 24262.02 6 NO NO NO 0.7 LEGAL 15 NO 7
1064665 62992.29 30 8 30 3.22 11.23 14.32 SUBNEW 0.83 25 33143.45 10 NO NO NO 0.66 GOVT 11 NO 5
157812 10695.31 6 7 6 3.33 11.21 12.93 SUBNEW 0.94 15 49096.12 9 NO NO NO 0.88 LEGAL 15 NO 0
981888 61534.38 1 6 1 2.83 11.59 16.09 SUBNEW 0.79 20 53750.22 4 YES YES YES 0.33 BUS. 8 NO 7
112653 8824.52 1 6 1 5.15 19.35 44.95 SUBOLD 0.59 12 43081.5 7 NO NO NO 1.59 OTHER 7 NO 2
408380 24368.61 22 9 78 0.84 14.1 26.05 CITY 0.82 8 17003.15 3 NO NO NO 0.54 LEGAL 7 NO 7
551308 31364.2 30 4 30 0.83 14.49 27.5 CITY 0.93 53 36402.89 11 NO NO NO 0.6 DOCTOR 45 NO 7
132458 6911.77 7 7 25 0.12 14.52 26.57 CITY 0.98 56 29249.08 8 NO YES NO 0.82 LEGAL 46 NO 1
466399 28349.48 21 10 46 1.33 13.13 21.83 CITY 0.99 23 16862.6 7 YES NO NO 0.75 LEGAL 17 NO 4
489413 29995.32 23 10 45 1.45 14.98 27.49 CITY 0.68 35 24332.47 7 NO NO NO 1.7 GOVT 19 NO 2
727057 43578.93 41 9 41 0.61 14.37 26.72 CITY 0.97 20 22622.29 4 NO NO NO 0.75 GOVT 7 YES 2
60365 3781.87 29 8 29 2.73 11.86 15.22 SUBNEW 0.65 12 11353.76 7 NO NO NO 0.61 LEGAL 7 NO 0
527078 31818.23 16 9 16 2.38 12.61 18.02 SUBNEW 0.97 17 60185.42 4 YES NO NO 1.39 OTHER 1 NO 5
465335 29945.13 15 7 72 1.26 15.52 29.9 CITY 0.79 10 16104.73 4 NO NO NO 0.86 LEGAL 8 NO 5
692087 39170.34 12 9 12 4.94 11.11 18.78 SUBNEW 0.79 11 30010.89 6 NO NO NO 0.68 GOVT 10 NO 4
1020102 66725.6 16 3 16 3.51 12.08 17.43 SUBNEW 0.74 21 75165.35 7 NO NO NO 1.97 BUS. 1 NO 12
382421 26584.02 2 9 2 3.46 16.73 34.71 SUBOLD 0.73 16 43609.91 4 NO NO NO 1.37 GOVT 8 NO 5
1043353 71102.88 14 3 14 3.58 11.26 12.9 SUBNEW 0.97 22 60769.23 9 NO NO NO 1.43 BUS. 3 NO 0
20744 1233.64 15 6 15 3.67 13.66 24.34 SUBNEW 0.81 21 43780.02 6 YES NO YES 0.67 LEGAL 9 NO 0
1711806 102869.25 9 3 26 5.71 10.3 19.98 SUBNEW 0.95 12 34540.31 7 NO NO NO 0.33 BUS. 8 NO 0
47412 2651.42 23 10 23 4.22 10.94 14.32 SUBNEW 0.78 14 43421.29 5 NO NO NO 1.25 GOVT 12 NO 0
240353 15439.01 5 6 5 1.78 15.87 31.11 SUBOLD 0.97 9 15845.06 2 NO NO NO 1.34 OTHER 1 NO 1
883371 53892.47 7 3 20 4.7 12.58 23.04 SUBNEW 0.75 20 32417.48 6 NO NO NO 2.05 BUS. 8 NO 0
542066 29045.35 71 3 71 0.44 14.04 24.95 CITY 0.8 14 26298.74 5 YES NO NO 0.47 LEGAL 9 NO 7
480014 28756.07 1 5 1 2.07 12.93 19.26 SUBNEW 0.87 16 48698.26 9 YES NO YES 1.5 BUS. 3 NO 7
951236 52620.42 43 6 43 0.91 13.7 22.77 CITY 0.98 12 14051.24 5 NO NO NO 0.41 GOVT 7 YES 8
246621 14592.96 6 6 6 4.71 10.35 14.62 SUBNEW 0.97 18 41094.73 6 YES NO YES 1.07 LEGAL 11 NO 0
90036 5038.17 4 3 4 4.04 11.75 17.59 SUBNEW 0.91 17 37203.14 8 YES YES NO 1.48 BUS. 2 NO 0
64878 2844.02 30 3 49 0.24 14.25 25.28 CITY 0.98 24 25832.04 6 NO NO NO 0.53 GOVT 1 NO 4
52000 3394.34 15 9 15 1.75 16.17 32.86 SUBOLD 0.59 11 43491.21 5 NO NO NO 0.72 DOCTOR 3 NO 0
178953 12290.77 45 3 45 4.1 17.83 38.95 SUBOLD 0.85 10 28234.36 3 NO NO NO 0.32 BUS. 7 NO 4
20409 1172.12 23 4 23 5.26 12.88 25.7 SUBNEW 0.87 14 40987.32 6 YES NO NO 2.34 BUS. 12 NO 0
286348 20203.83 38 3 38 5.65 19.49 45.62 SUBOLD 0.54 11 27189.09 6 NO NO NO 1.67 BUS. 10 NO 0
51787 2044.55 49 3 49 0.35 14.66 26.8 CITY 0.92 20 20437.08 4 NO NO NO 0.94 OTHER 2 NO 4
340457 23751.01 16 9 28 4.46 18.69 42.33 SUBOLD 0.83 9 36567.71 4 NO NO NO 1.14 BUS. 4 NO 1
106376 6578.63 15 7 30 1.86 12.83 19.03 SUBNEW 0.97 10 27127.8 6 YES NO YES 1.16 LEGAL 2 NO 4
100786 6262.28 5 9 5 5.13 11.42 20.69 SUBNEW 0.72 14 40210.11 6 NO NO NO 1.03 BUS. 3 NO 0
53800 3074.78 28 4 28 2.31 15.87 31.06 SUBOLD 0.96 17 20755.09 8 NO NO NO 2.02 DOCTOR 1 NO 2
310397 20536.14 0 10 24 4.63 18.06 40.08 SUBOLD 0.97 9 38500.27 2 NO NO NO 0.98 LEGAL 9 NO 0
43461 2040.36 16 3 48 1.01 13.43 22.15 CITY 0.95 26 32798.35 6 YES NO NO 0.3 BUS. 14 NO 2
408079 22359.69 52 5 78 0.9 13.56 23.29 CITY 1 4 5589.92 3 NO NO NO 0.44 BUS. 1 YES 1
73429 4171.16 25 6 37 3.93 18.18 40.35 SUBOLD 0.97 7 26358.09 3 NO NO NO 1.03 DOCTOR 3 NO 1
170274 9209.81 39 10 77 1.43 13.97 23.43 CITY 0.98 9 22140.18 2 NO NO NO 1.21 OTHER 1 NO 2
1225520 77992.34 1 4 20 2.97 11.52 14.46 SUBNEW 0.99 6 44861.4 4 YES NO NO 0.5 BUS. 2 NO 5
416602 23549 3 7 52 0.69 13.88 23.59 CITY 0.79 23 19503.41 5 NO NO NO 0.32 LEGAL 17 NO 4
1268814 67176.59 25 10 25 0.15 14.29 25.52 CITY 0.77 37 18949.65 8 YES NO NO 0.56 GOVT 31 YES 11
190133 11030.48 32 5 32 1.34 13.13 21.81 CITY 0.78 44 51187.8 10 YES NO NO 0.76 LEGAL 39 NO 4
823714 43949.35 50 3 50 0.61 14.23 24.81 CITY 0.97 20 9582.64 6 NO NO NO 0.65 BUS. 10 NO 0
487227 35378.96 19 6 44 3.09 17.46 37.62 SUBOLD 0.94 9 22048.2 5 NO NO NO 1.59 LEGAL 7 NO 11
514796 31955.9 10 4 10 2.32 12.14 17.04 SUBNEW 0.9 14 30757.06 7 NO NO NO 0.3 BUS. 9 NO 7
1350143 70714.12 5 3 5 0.64 15.05 28.43 CITY 0.79 68 50346.81 16 YES YES YES 0.59 BUS. 39 NO 10
143330 9148.76 12 9 12 5.25 11.56 21.65 SUBNEW 0.97 16 42575.97 6 YES NO NO 1.24 BUS. 6 NO 0
2553806 144597.1 11 8 11 2.09 12.46 17.78 SUBNEW 0.96 14 15879.37 9 NO YES NO 0.72 BUS. 5 NO 12
450257 29469.24 15 3 15 2.98 17.27 36.75 SUBOLD 0.81 9 39302.43 3 NO NO NO 1.36 BUS. 7 NO 8
864771 48638.2 24 5 48 0.3 14.48 26.69 CITY 0.8 20 42539.24 5 NO NO NO 0.86 BUS. 6 NO 11
787238 42441.06 0 7 23 0.12 14.51 26.39 CITY 0.98 56 35784 12 YES NO YES 0.79 OTHER 47 NO 3
379098 24912.98 5 6 40 5.56 19.42 45.32 SUBOLD 0.91 8 17914 6 YES NO YES 1.58 OTHER 1 NO 3
218096 14113.66 2 10 2 4.67 10.71 15.86 SUBNEW 0.9 5 38892.58 2 YES NO YES 0.77 BUS. 1 NO 1
390806 24629.66 17 3 17 3.58 13.13 22.15 SUBNEW 0.98 23 46318.63 7 NO NO NO 1.09 BUS. 16 NO 0
2267764 136576.86 59 4 59 1.4 13.04 21.23 CITY 0.75 15 19703.8 7 NO NO NO 0.76 BUS. 9 NO 9
95399 5690.82 25 10 25 5.61 13.66 28.94 SUBNEW 0.81 14 28480.31 5 YES NO NO 2.43 LEGAL 6 NO 0
115937 6287.25 45 5 45 0.36 14.61 26.54 CITY 0.97 30 31534.91 7 NO NO NO 0.89 LEGAL 18 YES 3
597697 41045.7 3 8 3 3.54 17.81 38.87 SUBOLD 0.7 19 24824.6 8 NO NO NO 1.07 GOVT 11 NO 4
29459 1902.59 37 10 37 5.51 18.63 42.71 SUBOLD 0.8 4 27726.51 3 NO YES NO 1.86 DOCTOR 1 NO 0
84636 5656.8 2 3 2 1.68 16.08 32.31 SUBOLD 0.6 10 43613.97 7 NO NO NO 0.77 BUS. 10 NO 3
149458 9300.4 13 4 29 3.24 17.62 38.34 SUBOLD 0.84 18 35287.82 9 YES NO YES 1.68 BUS. 9 NO 5
1667827 96635.44 16 9 29 1.27 13.21 21.03 CITY 0.86 44 33435.08 8 NO YES NO 0.57 BUS. 29 NO 11
298459 17722.83 1 8 1 2.42 12.27 16.7 SUBNEW 0.44 9 30835.97 5 NO YES NO 0.86 BUS. 3 NO 4
378054 20508.11 43 9 43 1.48 13.2 20.55 CITY 0.87 39 31766.43 7 NO NO NO 0.86 BUS. 4 NO 4
194093 11112.81 5 7 5 1.13 13.38 22.9 CITY 0.95 71 28136 15 YES YES YES 0.66 BUS. 32 YES 1
213583 13553.45 5 7 36 3.71 18.04 39.84 SUBOLD 0.72 18 46253.17 5 NO NO NO 1.29 OTHER 12 NO 2
101742 6329.96 9 9 20 2.61 11.91 15.71 SUBNEW 0.58 20 34620.05 9 NO NO NO 0.41 LEGAL 20 NO 0
80573 4149.43 52 10 52 0.28 14.7 27.22 CITY 0.89 7 8305.66 3 NO NO NO 0.85 DOCTOR 2 YES 2
767107 49027.98 1 7 20 2.45 16.1 31.98 SUBOLD 0.8 13 10145.86 5 YES NO YES 1.79 BUS. 9 NO 9
199273 11738.58 2 7 2 4.62 11.09 17.19 SUBNEW 0.88 15 8076.15 4 YES YES YES 0.8 OTHER 12 NO 1
161323 9457.99 15 9 60 0.77 13.72 23.94 CITY 0.94 10 26498.46 6 NO NO NO 0.46 LEGAL 10 NO 0
297568 17490.6 23 3 23 5.59 11.04 21.45 SUBNEW 1 27 57415.95 6 NO NO NO 0.86 DOCTOR 23 NO 0
991909 58384.22 15 8 15 3.9 10.99 12.67 SUBNEW 0.93 7 35550.81 5 YES NO NO 1.69 BUS. 5 NO 8
415569 28097.43 2 10 32 6.3 19.73 46.92 SUBOLD 0.95 15 17985.43 3 YES NO YES 2.34 GOVT 1 NO 2
632897 37180.81 16 3 16 5.35 10.72 19.43 SUBNEW 0.79 17 64552.71 4 YES NO YES 0.32 LEGAL 12 NO 3
42811 2374.1 24 3 24 1.59 15.44 29.35 SUBOLD 0.92 16 27021.71 5 NO NO NO 1.49 DOCTOR 1 NO 1
1165892 73286.17 26 8 26 4.52 11.39 17.96 SUBNEW 0.86 21 33370.14 4 NO NO NO 1.02 GOVT 5 NO 0
155239 10124.46 7 5 7 3.96 11.59 16.49 SUBNEW 0.94 7 34783.64 3 YES NO NO 1.46 BUS. 7 NO 0
1295344 79939.07 22 7 22 1.69 15.82 30.96 SUBOLD 0.69 12 31254.28 4 NO NO NO 1.24 BUS. 9 YES 17
113221 5693.46 48 8 48 0.83 14.79 28.48 CITY 0.94 31 22571.17 6 NO NO NO 0.87 LEGAL 31 NO 4
53611 2349.25 63 10 63 0.22 14.64 26.99 CITY 0.91 13 27523.59 5 NO NO NO 0.91 DOCTOR 8 NO 4
22221 1338.77 14 7 41 1.97 16.38 33.89 SUBOLD 0.52 14 54754.9 5 NO NO NO 0.85 DOCTOR 4 NO 4
350015 23839.81 13 8 13 2.62 16.85 35.04 SUBOLD 0.9 6 39783.17 4 NO NO NO 1.48 OTHER 2 NO 0
707741 42075.38 8 3 19 3.34 17.47 37.47 SUBOLD 0.55 6 45114.45 4 YES NO YES 0.81 BUS. 6 NO 3
551853 34881.73 18 8 18 5.63 10.31 19.6 SUBNEW 0.7 23 64074.99 8 NO NO NO 0.25 LEGAL 2 NO 0
41297 2217.94 45 4 45 0.31 14.13 25.12 CITY 0.98 11 15297.28 4 NO NO NO 0.46 LEGAL 6 NO 1
153451 10030.58 11 3 27 5.53 18.71 43 SUBOLD 0.61 6 27419.76 6 NO YES NO 1.81 LEGAL 6 YES 4
562098 32049.4 7 9 34 0.96 13.51 23.15 CITY 0.8 40 24151.23 8 YES YES YES 0.48 LEGAL 22 NO 7
136492 8423.07 22 7 22 4.75 10.3 14.66 SUBNEW 0.97 15 28265.25 5 YES NO YES 1.08 OTHER 6 NO 0
351196 22619.24 0 9 13 2.91 17.29 37.06 SUBOLD 0.63 11 40708.32 3 YES NO YES 1.8 GOVT 7 NO 0
41015 1889.05 42 5 42 0.44 14 24.68 CITY 0.81 13 24421.24 6 NO NO NO 0.38 BUS. 8 NO 3
147439 8826.94 6 3 6 5.32 10.7 19.22 SUBNEW 0.88 11 26857.9 7 NO NO NO 0.28 BUS. 1 NO 0
1321084 78048.37 7 4 7 3.2 12.23 17.31 SUBNEW 0.81 24 52187.96 7 NO YES NO 1.92 BUS. 19 NO 6
175533 8698.47 21 6 71 0.1 14.32 25.75 CITY 0.88 13 5171.12 4 NO NO NO 0.61 LEGAL 7 NO 5
84169 5650.18 24 7 24 3.02 16.66 34.24 SUBOLD 0.82 16 52638.57 5 NO YES NO 1.24 DOCTOR 11 NO 1
263586 17467.35 1 3 1 4.94 12.37 23.12 SUBNEW 0.49 8 42819.01 4 YES NO YES 1.99 BUS. 2 NO 5
27373 1833.52 3 9 3 4.46 10.88 15.41 SUBNEW 0.73 10 23301.23 4 YES YES YES 0.96 DOCTOR 3 NO 0
550052 34024 21 3 21 2.13 16.24 32.56 SUBOLD 0.87 9 24073.39 6 NO NO NO 1.56 BUS. 8 NO 5
106156 6029.79 0 10 12 0.58 13.9 24.45 CITY 0.92 64 37116.65 11 NO YES NO 0.41 OTHER 41 NO 0
456299 26722.56 73 6 73 0.65 13.84 24.32 CITY 0.9 8 25416.5 2 NO NO NO 0.44 GOVT 4 YES 6
520268 33194.47 7 8 42 3.96 17.66 38.27 SUBOLD 0.79 15 45604.02 7 NO NO NO 0.41 BUS. 4 NO 4
179153 11231.36 13 4 13 4.07 11.4 16 SUBNEW 0.76 17 58809.68 5 NO NO NO 1.32 BUS. 14 NO 2
139348 9110.63 12 3 12 5.62 10.15 19.14 SUBNEW 0.71 20 41002.44 10 YES NO NO 0.3 BUS. 9 NO 4
25240 1460.11 28 3 49 4.07 17.66 38.33 SUBOLD 0.86 12 30816.01 6 NO NO NO 0.59 BUS. 10 NO 0
33312 1669.45 15 9 52 0.22 14.48 26.59 CITY 0.91 19 22904.74 4 YES NO NO 0.83 BUS. 19 NO 1
183631 10843.4 4 6 61 1.32 13.11 21.38 CITY 0.84 7 13162.79 4 NO NO NO 0.67 BUS. 5 NO 1
333598 19100.58 26 3 43 0.77 13.67 23.49 CITY 0.82 14 13392.83 4 NO NO NO 0.31 LEGAL 9 NO 0
165324 8890.42 35 8 72 0.91 13.53 23.01 CITY 1 4 22970.27 3 NO NO NO 0.37 LEGAL 3 NO 3
34005 1578.26 14 8 50 1.25 13.36 21.34 CITY 0.89 18 39362.65 4 NO NO NO 0.63 LEGAL 14 YES 2
278579 15010.93 21 10 48 0.39 14.04 24.58 CITY 0.98 25 15924.26 5 NO NO NO 0.32 GOVT 17 YES 0
4010 164.07 5 3 26 3.12 13.15 21.32 SUBNEW 0.96 21 53313.4 10 YES NO NO 1.1 BUS. 11 NO 0
34884 1592.88 71 6 71 1.06 13.37 22.34 CITY 0.94 5 21739.98 2 NO NO NO 0.44 OTHER 3 NO 2
72286 1388.73 31 4 70 1.25 14.27 27.46 CITY 0.93 15 37725.51 8 NO NO NO 0.15 DOCTOR 1 NO 0
39822 2303.84 1 9 16 3.42 14.24 26.02 SUBNEW 0.9 16 17491.27 5 YES YES YES 0.15 BUS. 16 NO 0
267176 17227.76 18 5 18 3.38 17.5 37.58 SUBOLD 0.67 7 5747.02 3 NO NO NO 0.76 GOVT 2 NO 2
848745 46643.44 24 3 44 1.06 14.1 26.44 CITY 0.93 33 30589.83 7 NO NO NO 0.31 BUS. 13 NO 0
39567 2321.3 11 9 11 1.88 16.29 33.19 SUBOLD 0.76 9 15731.81 4 NO NO NO 0.89 LEGAL 7 NO 2
1229108 75221.91 6 5 6 2.77 13.8 23.49 SUBNEW 0.82 12 15024.29 4 NO NO NO 0.65 BUS. 1 NO 7
286442 17512.92 62 10 62 1.07 14.58 28.25 CITY 0.83 15 15299.63 6 NO NO NO 0.51 LEGAL 9 NO 3
527301 32210.67 8 6 8 2.67 15.63 30.27 SUBOLD 0.95 13 38869.15 5 NO NO NO 1.76 BUS. 5 NO 4
1384871 91777.25 2 4 2 3.04 11.73 14.49 SUBNEW 0.83 29 24402.82 5 NO NO NO 1.07 BUS. 11 NO 0
131036 7386.54 12 5 40 0.65 14.8 28.22 CITY 0.9 29 38080.53 5 NO NO NO 0.8 LEGAL 27 NO 0
1842558 107732.06 9 9 9 3.48 11.06 12.45 SUBNEW 0.93 15 41256.69 7 NO NO NO 1.01 BUS. 13 NO 0
2315053 143397.33 21 3 37 1.56 15.79 30.92 SUBOLD 0.76 15 34025.13 3 NO NO NO 1.04 BUS. 1 NO 21
68775 4414.3 3 3 3 6.16 19.86 47.2 SUBOLD 0.87 13 17177.51 3 NO NO NO 2.16 DOCTOR 9 NO 0
347047 21404.43 15 10 37 5.28 18.37 41.68 SUBOLD 0.9 9 13256.22 3 NO NO NO 1.72 GOVT 5 NO 8
823152 46288.37 5 7 5 0.38 14.38 26.46 CITY 0.96 73 41736.27 13 YES NO YES 0.83 GOVT 21 NO 8
584418 33641.56 15 6 52 1.19 13.86 23.06 CITY 0.98 17 31738.22 4 NO NO NO 0.89 LEGAL 12 NO 3
327494 19989.9 3 3 3 1.57 15.51 29.64 SUBOLD 0.77 18 52575.42 4 YES NO YES 1.4 LEGAL 13 NO 5
264553 19676.82 7 7 7 4.55 18.76 42.6 SUBOLD 0.92 18 48728.85 4 NO NO NO 1.13 LEGAL 7 NO 0
144570 9286.2 10 10 10 1.59 15.94 31.68 SUBOLD 0.58 11 41407.92 8 NO NO NO 0.82 BUS. 4 NO 3
50915 3323.36 11 8 46 5.94 19.65 46.37 SUBOLD 0.7 13 33743.72 3 NO NO NO 1.94 LEGAL 10 YES 1
283906 17984.58 1 3 1 2.54 11.9 16.47 SUBNEW 0.51 28 59216.05 9 NO YES NO 0.04 LEGAL 11 NO 0
31843 1987.11 17 3 17 6.27 19.76 46.98 SUBOLD 0.64 9 45721.21 3 NO NO NO 2.3 OTHER 3 NO 1
100274 6756.47 1 7 1 3.61 11.43 14.18 SUBNEW 0.44 16 37841.79 4 NO YES NO 1.67 LEGAL 13 NO 0
300529 16552.25 43 3 43 1.13 13.44 23.34 CITY 0.84 14 10739.55 7 NO NO NO 0.74 BUS. 13 NO 3
88158 4443.8 39 9 65 1.02 13.43 22.72 CITY 0.97 19 37882.7 6 NO NO NO 0.47 BUS. 11 NO 3
324621 21397.97 13 3 13 2.84 12.31 17.05 SUBNEW 0.75 19 46312.89 5 NO NO NO 1.55 BUS. 1 NO 0
21187 1063.76 23 6 23 2.22 12.78 18.7 SUBNEW 0.93 13 35813.89 5 NO NO NO 1.45 OTHER 3 NO 1
41342 2280.54 19 5 65 0.57 14 25.06 CITY 0.87 17 25769.26 3 NO NO NO 0.59 OTHER 16 NO 0
129067 8081.61 34 3 34 4.35 18.65 42.24 SUBOLD 0.54 10 33073.4 6 NO NO NO 1.36 BUS. 10 NO 5
138138 7793.21 6 8 64 1.12 13.59 22.16 CITY 0.91 30 18933.9 10 YES YES NO 0.62 OTHER 15 NO 1
30749 1834.28 26 3 26 2.08 13.13 20.09 SUBNEW 1 18 36015.61 4 NO NO NO 1.58 DOCTOR 15 NO 0
416691 21970.32 28 3 59 0.68 14.92 28.58 CITY 0.99 8 29532.8 3 NO NO NO 0.67 OTHER 2 YES 8
