salary sex mgmt.level years.exper
148 male 7 16.7
165 male 7 6.7
145 male 5 14.8
139 female 7 13.9
142 female 6 6.4
144 male 5 9.1
128 female 3 8.5
143 male 6 18.2
157 male 7 13
150 male 7 21.6
115 male 2 5.9
133 female 3 9.1
128 male 4 4.7
154 male 6 11.5
121 female 3 8.5
150 male 8 22.4
133 male 3 7
149 male 5 12.2
145 male 4 11.8
145 male 7 12
149 male 6 5.7
151 male 6 8
148 female 5 10
142 male 7 26.1
127 male 4 11.2
146 female 5 7.7
134 female 2 8.1
139 male 5 11.4
145 male 6 10.2
110 male 2 2.4
125 male 3 14.5
148 male 8 22.2
135 female 4 5.1
159 male 7 11.2
153 female 4 5.9
131 female 2 2.4
142 female 6 6.6
132 male 6 11
153 male 5 8.9
160 male 7 8.1
148 male 7 17
155 male 6 6.3
164 male 6 9.5
140 female 5 1.7
134 male 4 9.3
132 male 5 20.3
151 female 5 6.1
124 female 2 7.6
164 male 9 20
139 male 4 12.2
158 male 8 11.2
137 female 3 5.4
143 male 4 14.2
142 male 5 11.7
129 female 4 11
142 female 4 4.1
140 male 5 6
137 male 5 18.6
145 male 5 15.4
133 male 4 7.2
146 female 6 5.5
130 male 3 6.1
162 female 8 18.6
142 male 3 5
137 female 4 5.8
129 female 3 7.4
132 male 3 11.9
123 male 3 5.3
138 male 5 4.3
143 male 7 10.5
153 male 7 6.5
153 female 5 7.7
164 male 7 9.7
147 male 3 7.6
135 female 4 4.6
153 male 7 16.2
134 female 3 3.3
166 female 7 6.3
128 male 2 7.7
147 male 6 3.9
138 female 3 9.9
152 male 5 5.6
135 female 4 7.1
143 female 4 12.6
136 male 7 16
153 male 6 4.8
149 male 6 13.1
139 female 3 10.9
146 female 4 4.8
133 female 3 3.6
141 male 5 8.9
159 female 7 12.9
151 male 5 12.5
162 female 7 9.6
137 female 3 6.3
155 male 7 14.2
135 male 4 7
145 female 5 4.3
127 female 3 2.3
139 male 4 9.4
120 female 2 7.8
150 male 7 14.8
131 male 4 11.7
164 male 9 16.7
149 male 6 7.5
145 male 5 13.4
132 male 3 12
119 male 3 11.3
138 male 6 16.9
126 male 3 10.8
147 female 6 11
137 female 5 9.9
137 male 3 9.4
138 male 4 3.4
124 female 2 2.9
153 male 6 15.9
163 female 6 9.2
128 male 3 7.3
144 male 5 9.3
134 male 3 6.7
142 male 5 5.1
133 male 4 13.4
146 female 5 12.6
162 male 8 14
171 male 7 11
135 female 3 7.2
133 male 4 15.1
154 male 7 16.5
149 female 5 4.1
153 male 8 15.7
125 male 4 8.3
157 male 7 11
120 male 3 11
145 male 6 13.5
141 male 5 10.3
150 female 6 5.2
144 male 5 7.3
138 female 4 7.7
122 female 1 2.6
155 male 8 16.2
128 male 3 6.6
145 male 6 22.7
138 female 4 8.3
126 male 5 22.2
146 female 6 8.7
144 female 4 5.5
150 male 6 10.9
170 female 6 7.5
118 female 2 4.1
162 male 8 13
164 male 7 21.5
138 female 3 7.6
139 male 4 6.1
152 female 6 6.7
140 female 2 5.8
159 male 6 8.5
120 female 2 4.2
137 female 4 13.2
156 male 6 9.5
146 female 5 4.3
131 male 3 11.5
148 male 6 13.4
172 female 7 8.4
165 male 7 7.9
133 male 4 6.6
152 male 5 11.7
150 male 8 15.3
150 female 6 5.4
118 female 1 4.3
138 male 5 15.6
129 male 3 5.3
147 male 6 7.1
165 male 8 11.7
141 male 5 10.3
149 male 8 21.8
148 female 5 9.5
150 male 5 11.9
152 male 8 25.3
129 female 3 8.5
152 female 6 4.3
141 male 4 18.3
149 female 5 6.8
124 male 4 10.5
112 male 3 9.7
154 male 7 14.8
132 male 4 11.9
148 male 7 16.2
139 male 5 11.6
151 male 7 22.5
139 male 6 12.5
163 female 9 21.7
162 male 6 10.1
155 male 7 9
157 male 7 13
131 female 4 4.2
143 male 6 8.2
150 male 6 22
151 female 6 4.7
140 female 5 8
158 male 9 17.2
145 male 6 9
119 male 3 11.8
146 male 7 19.2
143 female 3 7.8
151 male 7 20.8
132 male 4 13.5
129 female 3 13.4
129 male 6 21.1
165 male 8 21.4
120 female 2 2.1
133 male 3 12
147 male 6 13.8
164 male 9 22
127 female 3 2.3
132 female 4 4.6
146 male 5 8.9
147 male 5 8.8
156 male 7 15.1
132 male 4 4.7
161 male 7 16.5
